,Mouse1,Mouse2,Mouse3,Mouse4,Mouse5,Mouse6,Mouse7,Mouse8,Mouse9,Mouse10,Mouse11,Mouse12,Mouse13,Mouse14,Mouse15,Mouse16,Mouse17,Mouse18,Mouse19,Mouse20,Mouse21,Mouse22,Mouse23,Mouse24
mcmv-miR-m107-1-5p,13,9,6,2,6,5,25,24,12,26,14,21,25,18,25,22,21,12,15,33,28,28,29,33
mcmv-miR-m108-1,28,5,11,4,13,6,36,45,25,27,31,36,34,37,30,45,49,30,34,63,31,38,42,60
mcmv-miR-m108-2-3p,7,4,3,1,5,1,9,4,11,8,9,8,12,8,18,13,12,8,15,24,15,19,21,12
mcmv-miR-m108-2-5p.1,25,8,11,2,10,9,38,52,23,44,32,44,56,31,48,47,52,31,24,46,42,39,39,37
mcmv-miR-m108-2-5p.2,8,3,3,3,2,2,14,6,7,8,9,5,12,9,15,10,14,8,13,13,15,15,14,13
mcmv-miR-m21-1,15,5,3,4,15,12,38,38,32,39,36,51,38,31,43,47,42,33,29,48,25,46,34,60
mcmv-miR-m22-1,5,1,3,1,1,2,14,9,4,8,7,2,8,8,14,6,9,4,5,4,14,13,7,6
mcmv-miR-m59-1,1,1,2,1,2,2,3,7,8,9,6,3,11,4,12,6,5,5,7,11,19,9,11,10
mcmv-miR-m59-2,28,7,8,4,16,4,60,41,24,47,38,47,44,37,50,51,54,33,46,54,42,51,51,53
mcmv-miR-m88-1,21,8,7,2,11,10,45,38,32,24,33,33,35,27,50,45,48,21,24,40,34,38,33,55
mghv-miR-M1-1,29,4,7,2,10,11,31,21,23,28,25,36,35,24,25,32,38,20,24,47,26,23,30,54
mghv-miR-M1-2,16,3,3,1,13,8,40,39,18,21,22,32,25,23,39,49,31,29,25,39,39,36,38,41
mghv-miR-M1-3,25,7,8,4,11,11,39,33,18,17,28,27,37,22,40,29,36,20,15,40,25,35,29,37
mghv-miR-M1-4,19,7,11,2,12,11,43,51,44,36,37,62,49,46,46,58,59,38,41,51,42,54,49,51
mghv-miR-M1-5,25,11,3,5,11,10,38,38,17,24,26,30,47,22,32,34,46,14,23,36,32,31,34,55
mghv-miR-M1-6,9,1,1,1,1,1,11,8,10,5,5,6,7,7,15,15,4,8,10,9,13,8,9,9
mghv-miR-M1-7-3p,31,3,11,3,9,12,49,47,31,20,41,38,43,29,35,47,43,32,22,40,35,39,28,49
mghv-miR-M1-7-5p,21,8,5,5,13,7,37,27,17,19,25,29,33,21,30,42,31,21,22,32,33,25,29,31
mghv-miR-M1-8,19,7,8,2,14,7,42,35,33,44,29,40,44,29,48,56,62,26,35,40,52,49,33,56
mghv-miR-M1-9,3,3,3,1,1,1,8,9,7,26,6,14,7,9,12,17,8,7,9,5,13,8,8,9
